"市町村","タイトル","所在地","緯度","経度","写真1","写真2","写真3","写真4","写真5","写真6","写真7","写真8","写真9","写真10","連絡先","分類","災害種別","備考"
"","板野町防災ステーション","徳島県板野郡板野町川端字新手崎18-1","34.1376145138649","134.472894999665","","","","","","","","","","","088-637-5585","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","新野小学校","阿南市新野町南宮ノ久保70-1","33.846992732684","134.581094273894","","","","","","","","","","","0884-36-2021","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","新野東小学校","阿南市新野町是国37-2","33.8451661087362","134.604181051268","","","","","","","","","","","0884-36-2103","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震",""
"","阿南第二中学校","阿南市内原町竹ノ内口143-1","33.8767922382881","134.628260497804","","","","","","","","","","","0884-26-0203","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","桑野小学校","阿南市桑野町岡元40-1","33.8735802113334","134.611782404768","","","","","","","","","","","0884-26-0200","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","山口小学校","阿南市山口町末広12-1","33.8730345081459","134.58194017412","","","","","","","","","","","0884-26-0204","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","桑野公民館","阿南市山口町内田150-1","33.8708518158819","134.602330812703","","","","","","","","","","","0884-26-1644","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震",""
"","大井小学校","阿南市大井町東平127-1","33.9090378359693","134.517774863941","","","","","","","","","","","","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震",""
"","加茂谷中学校","阿南市加茂町南不け1","33.9139890059545","134.550091670042","","","","","","","","","","","0884-25-0012","指定緊急避難場所（法指定）","洪水,地震,大規模な火事",""
"","阿南市クリーンピュア","阿南市熊谷町定方44","33.9166687406863","134.57790351083","","","","","","","","","","","0884-21-5374","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","岩脇小学校","阿南市羽ノ浦町岩脇町筋87","33.9423706268626","134.615646847332","","","","","","","","","","","0884-44-2234","指定緊急避難場所（法指定）","洪水,地震",""
"","大野小学校","阿南市下大野町三条5","33.9346903843866","134.595673084274","","","","","","","","","","","0884-22-1004","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","阿南支援学校","阿南市上大野町大山田52","33.9257439662399","134.58147883417","","","","","","","","","","","0884-22-2010","指定緊急避難場所（法指定）","洪水,地震",""
"","長生公民館","阿南市長生町上荒井楠ノ前4-2","33.9087203976232","134.619335991944","","","","","","","","","","","0884-23-5515","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震",""
"","長生小学校","阿南市長生町五反地25-2","33.9102130747518","134.616614400535","","","","","","","","","","","0884-22-0604","指定緊急避難場所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","阿南第一中学校","阿南市長生町西方589-1","33.9270169965153","134.624919891369","","","","","","","","","","","0884-22-0604","指定緊急避難場所（法指定）","洪水,地震,大規模な火事",""
"","中野島小学校","阿南市上中町中原182-1","33.9328663172641","134.628832781517","","","","","","","","","","","0884-22-0439","指定緊急避難場所（法指定）","洪水,地震,大規模な火事",""
"","宝田小学校","阿南市宝田町久保田124","33.9206892585458","134.635707275624","","","","","","","","","","","0884-22-1134","指定緊急避難場所（法指定）","洪水,地震,大規模な火事",""
"","宝田公民館","阿南市宝田町久保田97-1","33.9229823476022","134.63751127198","","","","","","","","","","","0884-22-0234","指定緊急避難場所（法指定）","洪水",""
"","橘町総合センター","阿南市橘町豊浜36-15","33.8720343776035","134.641019888581","","","","","","","","","","","","指定緊急避難場所（法指定）","洪水,崖崩れ等",""
"","鳴門ふれあい健康館","鳴門市撫養町南浜字東浜24-2","34.17086398","134.6110582","","","","","","","","","","","","指定緊急避難場所（法指定）","洪水,高潮,崖崩れ等,地震,津波,内水氾濫",""
